,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
281,South Dakota State,33,24,9,.727,5.92,-4.74,14,2,14,1,7,6,2789,2425,,72.8,116.1,.323,.408,.615,53.3,49.7,8.4,6.0,.584,14.6,23.7,.251
282,South Dakota,30,13,17,.433,-5.52,-3.06,7,9,8,6,4,8,2118,2136,,68.1,103.3,.352,.400,.545,47.9,52.4,8.0,6.4,.506,14.3,22.0,.260
283,South Florida,38,24,14,.632,5.96,1.69,8,10,18,5,5,7,2752,2553,,69.5,101.9,.480,.386,.529,54.7,57.2,11.3,9.7,.494,18.8,35.7,.310
284,Southeast Missouri State,31,10,21,.323,-11.32,-4.39,5,13,6,8,2,13,2216,2378,,70.2,99.8,.287,.397,.539,48.8,50.5,8.2,6.9,.514,17.9,25.7,.198
285,Southeastern Louisiana,33,17,16,.515,-7.59,-6.30,12,6,9,5,7,9,2224,2228,,67.6,99.6,.369,.401,.545,52.2,59.1,9.6,7.1,.509,20.8,32.5,.265
286,Southern California,33,16,17,.485,8.23,4.96,8,10,12,5,2,9,2518,2410,,71.0,105.8,.276,.360,.546,48.7,57.2,8.5,9.4,.528,14.5,26.9,.178
287,SIU Edwardsville,31,10,21,.323,-14.47,-5.06,6,12,7,8,2,11,2265,2520,,71.9,98.4,.357,.350,.510,48.2,48.1,8.6,6.1,.471,16.5,28.7,.251
288,Southern Illinois,32,17,15,.531,1.39,-0.17,10,8,9,6,7,7,2194,2144,,66.8,102.7,.320,.331,.554,50.8,54.6,9.9,11.7,.528,18.4,28.6,.219
289,Southern Methodist,32,15,17,.469,5.81,4.12,6,12,10,8,3,7,2303,2249,,66.5,108.2,.278,.410,.540,50.9,52.9,8.9,11.3,.512,14.1,32.6,.199
290,Southern Mississippi,33,20,13,.606,2.58,-0.83,11,7,11,3,7,7,2392,2160,,67.4,106.8,.253,.369,.553,50.1,61.5,11.3,11.0,.537,13.8,24.3,.166
291,Southern Utah,34,17,17,.500,-8.91,-6.22,9,11,11,4,4,12,2573,2566,,73.5,101.5,.379,.400,.546,50.2,48.4,7.9,9.1,.509,16.5,23.2,.270
292,Southern,32,7,25,.219,-16.79,-7.37,6,12,6,5,1,18,2077,2360,,68.3,94.6,.344,.318,.522,47.9,49.5,9.8,8.1,.492,20.4,29.4,.230
293,St. Bonaventure,34,18,16,.529,3.34,0.25,12,6,9,5,6,7,2250,2145,,65.1,99.8,.282,.332,.518,50.6,50.8,8.8,15.4,.483,16.2,28.9,.209
294,St. Francis (NY),33,17,16,.515,-10.19,-8.45,9,9,11,3,6,12,2345,2320,,70.6,100.3,.292,.405,.518,49.1,46.0,8.3,10.6,.491,15.4,27.4,.198
295,St. John's (NY) NCAA,34,21,13,.618,7.88,5.50,8,10,11,4,4,7,2623,2542,,72.6,105.0,.295,.385,.548,45.8,50.0,12.1,9.8,.518,13.0,21.4,.212
296,Stanford,31,15,16,.484,6.03,5.13,8,10,10,4,4,9,2255,2227,,71.8,100.8,.361,.366,.540,51.4,48.5,8.3,10.7,.511,18.3,29.8,.242
297,Stephen F. Austin,30,14,16,.467,-10.99,-5.92,7,11,10,6,3,9,2105,2161,,69.8,99.7,.358,.347,.530,49.0,46.7,9.1,11.9,.499,18.2,30.3,.244
298,Stetson,31,7,24,.226,-15.01,-3.46,3,13,7,8,0,16,2151,2429,,71.6,96.5,.256,.349,.489,47.8,52.6,9.4,8.5,.459,15.2,29.0,.177
299,Stony Brook,33,24,9,.727,-2.10,-6.48,12,4,10,4,13,4,2364,2188,,69.9,101.4,.359,.369,.521,54.2,45.6,9.0,13.0,.481,17.4,33.4,.259
300,Syracuse NCAA,34,20,14,.588,13.73,10.09,10,8,13,6,6,4,2370,2246,,67.2,103.4,.368,.432,.529,48.4,50.5,12.1,16.8,.496,15.9,30.0,.252
301,Temple NCAA,33,23,10,.697,8.17,4.93,13,5,13,2,8,5,2465,2358,,70.5,104.4,.325,.374,.534,48.2,54.5,12.0,6.2,.499,13.8,26.1,.236
302,Tennessee-Martin,31,12,19,.387,-10.94,-4.32,6,12,10,4,1,14,2356,2486,,71.2,105.9,.276,.379,.544,48.6,51.6,10.0,7.9,.511,16.2,31.3,.208
303,Tennessee State,30,9,21,.300,-11.62,-3.15,6,12,6,7,3,14,2182,2332,,73.1,98.6,.361,.412,.536,50.0,45.5,9.9,7.5,.501,19.6,29.3,.253
304,Tennessee Tech,31,8,23,.258,-14.76,-3.00,4,14,5,10,3,13,2104,2350,,72.9,92.4,.362,.348,.503,48.3,52.4,9.9,11.1,.476,19.8,28.4,.228
305,Tennessee NCAA,37,31,6,.838,21.55,10.16,15,3,18,0,7,3,3035,2580,,69.4,116.2,.333,.320,.587,52.3,59.7,8.5,15.2,.554,13.7,30.9,.251
306,Texas A&M-Corpus Christi,32,14,18,.438,-9.11,-5.68,9,9,9,7,5,9,2126,2124,,67.3,97.9,.300,.344,.516,52.6,54.7,9.1,9.0,.485,18.1,31.4,.209
307,Texas A&M,32,14,18,.438,7.21,8.59,6,12,9,8,3,7,2253,2297,,69.4,101.5,.343,.360,.526,50.7,46.7,9.7,12.7,.493,17.2,32.7,.237
308,Texas-Arlington,33,17,16,.515,-0.50,0.84,12,6,9,5,7,10,2284,2303,,69.0,98.5,.345,.405,.514,51.6,53.9,9.1,8.3,.471,17.4,31.0,.256
309,Texas Christian,37,23,14,.622,13.81,9.60,7,11,15,5,3,7,2730,2574,,69.4,104.9,.317,.375,.547,51.7,60.4,9.8,11.5,.521,16.7,30.9,.216
310,Texas-El Paso,29,8,21,.276,-8.23,-1.71,3,15,8,8,0,13,1859,2001,,70.0,90.9,.363,.389,.498,50.4,48.0,6.6,7.9,.464,20.0,27.3,.240
311,Texas-Rio Grande Valley,37,20,17,.541,-2.04,-1.61,9,7,11,9,8,7,2634,2623,,71.9,98.4,.432,.297,.511,45.8,56.2,12.9,8.0,.466,15.5,25.9,.300
312,Texas-San Antonio,32,17,15,.531,0.69,0.05,11,7,11,4,5,7,2481,2407,,74.0,103.5,.259,.413,.534,49.2,46.9,8.9,6.9,.504,14.8,25.8,.191
313,Texas Southern,38,24,14,.632,-5.55,-6.99,14,4,10,2,13,11,3102,3008,,76.3,104.9,.415,.358,.545,50.7,54.6,10.4,7.3,.513,17.1,31.6,.277
314,Texas State,34,24,10,.706,1.54,-3.00,12,6,11,4,10,5,2470,2204,,68.5,105.3,.352,.377,.537,54.3,56.3,10.0,7.7,.506,16.5,33.7,.240
315,Texas Tech NCAA,38,31,7,.816,22.79,9.53,14,4,17,1,6,3,2765,2261,,67.6,106.9,.329,.360,.567,50.8,52.3,10.7,15.4,.535,15.8,26.3,.241
316,Texas,37,21,16,.568,16.06,11.46,8,10,15,6,2,8,2628,2458,,66.4,105.9,.297,.435,.537,49.3,52.3,9.1,11.4,.509,14.1,27.8,.207
317,Toledo,33,25,8,.758,8.21,0.71,13,5,14,2,8,5,2537,2256,,69.7,109.4,.267,.432,.566,52.5,59.7,7.3,11.5,.534,15.2,28.2,.206
318,Towson,32,10,22,.313,-8.44,-3.57,6,12,5,8,4,8,2170,2294,,64.5,102.7,.286,.296,.514,53.7,39.4,7.3,9.7,.484,15.6,34.6,.199
319,Troy,30,12,18,.400,-6.12,-1.01,5,13,8,8,4,10,2179,2242,,69.6,103.6,.320,.410,.550,48.8,50.7,8.1,12.3,.518,17.1,27.1,.231
320,Tulane,31,4,27,.129,-6.72,3.63,0,18,3,12,0,11,2082,2403,,72.0,93.4,.328,.376,.505,48.6,60.6,6.6,9.1,.471,18.5,26.2,.226
321,Tulsa,32,18,14,.563,4.65,3.86,8,10,14,3,3,8,2296,2271,,69.9,101.9,.434,.376,.550,48.7,55.4,7.8,7.0,.512,16.2,22.5,.301
322,UCLA,33,17,16,.515,7.17,6.78,9,9,13,5,3,7,2580,2567,,73.7,105.0,.382,.358,.543,52.8,51.4,7.9,10.7,.520,16.4,30.8,.242
323,Utah State NCAA,35,28,7,.800,11.98,0.89,15,3,14,1,9,4,2753,2349,,70.0,111.5,.367,.379,.575,56.2,62.4,8.7,12.2,.538,15.8,31.9,.274
324,Utah Valley,35,25,10,.714,3.00,-2.30,12,4,14,1,8,8,2697,2474,,70.4,109.5,.396,.384,.588,53.1,52.0,8.2,6.7,.555,17.5,28.3,.287
325,Utah,31,17,14,.548,6.13,5.10,11,7,10,5,6,5,2343,2311,,67.9,110.9,.355,.465,.578,52.3,54.7,6.8,7.0,.550,16.8,30.7,.251
326,Valparaiso,33,15,18,.455,-3.38,-1.00,7,11,8,7,5,8,2205,2187,,66.4,99.5,.334,.328,.534,50.8,53.7,9.1,8.6,.502,17.5,27.0,.233
327,Vanderbilt,32,9,23,.281,3.57,7.79,0,18,8,10,1,10,2180,2315,,68.9,98.5,.406,.422,.522,50.1,50.4,7.0,10.4,.486,17.9,28.9,.273
328,Vermont NCAA,34,27,7,.794,4.88,-4.18,14,2,16,2,11,4,2508,2143,,66.5,110.2,.359,.403,.568,53.2,46.2,8.3,11.9,.530,14.6,27.3,.269
329,Villanova NCAA,36,26,10,.722,14.33,7.97,13,5,13,2,5,6,2654,2425,,65.0,112.2,.344,.535,.565,51.3,56.9,8.2,8.7,.532,14.2,30.1,.251
330,Virginia Commonwealth NCAA,33,25,8,.758,11.96,2.87,16,2,16,1,8,4,2344,2044,,69.0,102.1,.357,.412,.535,50.8,54.9,11.5,12.2,.501,17.3,31.0,.251
331,VMI,32,11,21,.344,-10.50,0.09,4,14,8,7,2,13,2433,2617,,73.5,102.6,.294,.455,.541,47.2,52.4,9.1,5.1,.509,14.8,23.0,.215
332,Virginia Tech NCAA,35,26,9,.743,19.28,7.79,12,6,14,2,5,5,2574,2172,,64.4,113.3,.319,.437,.588,51.9,59.5,10.4,8.4,.556,15.2,29.2,.243
333,Virginia NCAA,38,35,3,.921,25.46,10.15,16,2,15,1,10,1,2714,2132,,60.8,116.3,.291,.395,.580,53.9,55.9,9.0,13.0,.552,12.8,29.7,.216
334,Wagner,30,13,17,.433,-12.99,-7.63,8,10,7,7,6,10,1974,2044,,66.4,98.7,.339,.456,.501,52.0,53.6,9.2,12.0,.456,17.4,33.9,.252
335,Wake Forest,31,11,20,.355,1.21,8.47,4,14,8,8,1,10,2119,2344,,68.8,98.6,.376,.353,.496,52.2,46.1,7.0,7.2,.448,16.3,33.7,.273
336,Washington State,32,11,21,.344,-1.67,2.20,4,14,9,7,2,8,2393,2517,,71.6,104.4,.303,.445,.562,48.2,57.4,7.4,7.8,.528,17.1,25.2,.229
337,Washington NCAA,36,27,9,.750,12.01,7.01,15,3,15,1,7,4,2511,2331,,67.4,103.2,.347,.399,.551,47.6,47.5,13.3,16.3,.521,17.4,28.8,.241
338,Weber State,33,18,15,.545,-4.37,-6.12,11,9,10,5,5,7,2617,2454,,73.4,107.2,.366,.354,.576,48.9,41.6,7.3,10.0,.540,14.4,19.7,.273
339,West Virginia,36,15,21,.417,6.94,10.57,4,14,11,7,0,10,2655,2786,,71.7,101.5,.389,.391,.514,53.1,54.2,8.5,9.4,.475,17.7,36.6,.268
340,Western Carolina,32,7,25,.219,-9.28,0.34,4,14,4,8,3,14,2304,2563,,71.3,99.8,.360,.459,.564,52.4,49.1,5.8,4.6,.539,22.0,28.7,.243
341,Western Illinois,31,10,21,.323,-10.04,-5.18,4,12,7,6,2,14,2198,2272,,69.5,101.6,.237,.337,.531,48.9,39.0,7.6,11.4,.505,14.6,22.7,.173
342,Western Kentucky,34,20,14,.588,3.14,0.96,11,7,10,4,6,8,2429,2355,,69.0,102.1,.379,.318,.539,51.6,48.9,9.9,14.4,.499,17.1,29.0,.274
343,Western Michigan,32,8,24,.250,-6.26,1.48,2,16,5,9,2,14,2246,2439,,70.2,98.5,.373,.397,.524,51.5,48.3,6.4,6.5,.487,18.6,30.0,.258
344,Wichita State,37,22,15,.595,7.72,5.91,10,8,10,4,7,7,2609,2542,,69.3,101.4,.288,.391,.504,52.1,53.7,6.8,10.3,.469,14.7,32.1,.209
345,William & Mary,31,14,17,.452,-4.78,-2.08,10,8,9,5,5,11,2321,2385,,69.2,106.1,.325,.415,.567,49.9,62.9,7.2,12.4,.546,16.0,24.2,.217
346,Winthrop,30,18,12,.600,-2.89,-3.74,10,6,11,3,7,8,2499,2358,,75.1,110.0,.301,.531,.582,53.4,53.8,5.9,7.2,.554,17.5,29.8,.222
347,Wisconsin NCAA,34,23,11,.676,17.90,11.01,14,6,12,3,8,5,2333,2099,,64.8,103.9,.273,.346,.531,49.8,49.2,7.9,11.0,.511,13.0,24.3,.177
348,Wofford NCAA,35,30,5,.857,13.92,0.80,18,0,15,1,11,3,2879,2295,,68.5,119.2,.271,.436,.598,54.5,50.6,9.6,9.1,.580,13.5,32.5,.190
349,Wright State,35,21,14,.600,3.29,-0.89,13,5,15,2,5,8,2561,2365,,67.4,108.1,.341,.403,.543,52.3,54.7,9.0,6.1,.506,14.6,31.3,.251
350,Wyoming,32,8,24,.250,-9.75,0.19,4,14,6,10,1,11,2105,2411,,70.2,93.3,.399,.435,.534,44.7,48.0,7.8,7.9,.492,18.6,15.6,.288
351,Xavier,35,19,16,.543,9.61,8.06,9,9,13,5,4,8,2526,2472,,66.5,107.0,.326,.374,.553,53.4,56.3,8.1,10.6,.528,16.5,32.2,.221
352,Yale NCAA,30,22,8,.733,5.52,-1.24,10,4,11,2,8,5,2427,2202,,72.9,109.7,.307,.350,.584,52.9,56.3,8.0,11.2,.556,15.9,25.8,.227
353,Youngstown State,32,12,20,.375,-7.78,-2.05,8,10,6,7,5,11,2415,2526,,70.6,104.8,.246,.433,.526,51.5,51.1,9.1,9.9,.501,15.6,33.7,.172
