,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
45,UC-Santa Barbara,32,22,10,.688,-1.62,-5.55,10,6,12,3,7,6,2350,2114,,66.0,110.4,.381,.327,.547,54.8,52.2,7.5,9.2,.510,14.2,34.8,.273
46,University of California,31,8,23,.258,-3.16,5.42,3,15,7,9,1,10,2121,2387,,68.5,99.5,.348,.341,.525,44.6,45.7,10.7,10.0,.486,14.8,23.3,.251
47,Campbell,33,20,13,.606,-3.62,-4.39,12,4,12,4,5,8,2495,2328,,68.0,110.7,.310,.478,.571,47.8,55.6,9.7,9.9,.537,13.4,23.7,.235
48,Canisius,32,15,17,.469,-8.79,-4.85,11,7,5,8,9,5,2250,2376,,68.5,101.4,.314,.431,.534,47.3,58.4,9.2,9.7,.505,16.4,27.1,.217
49,Central Arkansas,33,14,19,.424,-11.37,-4.81,8,10,8,5,5,13,2383,2498,,72.0,99.5,.350,.412,.537,48.2,57.2,8.4,10.1,.498,17.7,25.1,.256
50,Central Connecticut State,31,11,20,.355,-14.02,-6.71,5,13,5,7,5,12,2205,2367,,70.4,99.4,.348,.336,.520,50.1,46.8,7.8,10.9,.469,16.8,29.9,.272
51,Central Florida NCAA,33,24,9,.727,13.37,5.58,13,5,15,2,5,5,2385,2128,,67.3,107.0,.453,.356,.557,51.5,53.6,8.5,12.6,.529,15.5,29.0,.294
52,Central Michigan,35,23,12,.657,2.79,-0.34,10,8,13,4,7,6,2896,2690,,73.6,110.5,.417,.378,.555,49.6,47.1,10.2,7.4,.525,14.0,31.4,.280
53,Charleston Southern,34,18,16,.529,-2.43,-4.19,9,7,12,4,4,11,2574,2369,,71.9,104.5,.273,.438,.528,51.0,52.6,10.7,9.9,.505,15.3,30.9,.185
54,Charlotte,29,8,21,.276,-8.34,-0.89,5,13,5,9,3,9,1776,1992,,65.8,93.0,.363,.426,.525,48.3,48.2,7.2,11.1,.481,19.8,21.9,.270
55,Chattanooga,32,12,20,.375,-7.87,-0.76,7,11,8,6,4,11,2268,2376,,69.5,101.6,.243,.423,.540,48.6,50.2,6.2,6.4,.520,16.3,24.4,.166
56,Chicago State,32,3,29,.094,-24.83,0.67,0,16,3,8,0,19,1970,2710,,72.0,85.5,.332,.269,.486,44.4,52.4,8.4,6.4,.450,20.2,22.3,.224
57,Cincinnati NCAA,35,28,7,.800,14.53,5.50,14,4,16,2,7,4,2510,2194,,65.0,109.5,.376,.333,.528,53.7,53.4,9.3,14.5,.490,13.3,36.9,.265
58,Citadel,30,12,18,.400,-7.94,0.03,4,14,8,7,4,10,2553,2584,,76.7,110.0,.260,.535,.565,47.7,51.4,8.7,10.6,.539,14.6,27.0,.191
59,Clemson,34,20,14,.588,13.85,8.99,9,9,14,5,4,6,2339,2174,,67.3,102.2,.335,.356,.543,52.5,49.2,9.7,13.7,.507,17.3,27.9,.246
60,Cleveland State,31,10,21,.323,-7.96,-1.52,5,13,8,9,2,12,2300,2437,,71.4,103.1,.319,.447,.545,47.5,57.6,7.8,8.3,.518,16.3,26.7,.218
