65,Colorado,36,23,13,.639,9.68,3.60,10,8,15,2,5,9,2648,2429,,1445,924,2036,.454,230,711,.323,570,757,.753,363,1352,478,181,107,479,616
66,Columbia,28,10,18,.357,-5.18,-2.14,5,9,5,7,4,9,2059,2052,,1160,778,1720,.452,237,655,.362,266,377,.706,255,985,443,218,78,366,539
67,Connecticut,33,16,17,.485,6.81,4.32,6,12,13,5,1,8,2436,2354,,1325,874,1959,.446,252,732,.344,436,641,.680,380,1167,422,200,145,427,643
68,Coppin State,33,8,25,.242,-18.90,-7.11,7,9,3,7,4,16,2118,2507,,1330,710,1827,.389,240,841,.285,458,689,.665,314,1218,326,169,115,555,620
69,Cornell,31,15,16,.484,-6.12,-2.02,7,7,9,4,6,12,2149,2211,,1260,754,1705,.442,243,731,.332,398,551,.722,191,1015,453,181,107,414,492
70,Creighton,35,20,15,.571,12.00,8.59,9,9,13,6,4,8,2727,2561,,1420,980,2044,.479,372,961,.387,395,582,.679,288,1196,561,237,92,464,580
71,Dartmouth,30,11,19,.367,-5.75,-3.00,2,12,8,6,2,12,2160,2116,,1210,791,1750,.452,264,721,.366,314,436,.720,246,1020,426,158,100,361,468
72,Davidson,34,24,10,.706,6.38,1.96,14,4,14,2,7,5,2409,2229,,1365,852,1893,.450,312,882,.354,393,525,.749,264,1185,499,175,82,378,539
73,Dayton,33,21,12,.636,9.67,2.91,13,5,13,4,7,4,2406,2183,,1335,902,1789,.504,205,617,.332,397,575,.690,261,1145,541,164,81,414,463
74,Delaware State,31,6,25,.194,-26.82,-10.13,2,14,3,9,2,15,1956,2371,,1240,695,1963,.354,234,789,.297,332,489,.679,378,1144,333,214,66,435,589
75,Delaware,33,17,16,.515,-7.91,-4.82,8,10,9,7,7,8,2352,2380,,1360,830,1808,.459,282,746,.378,410,564,.727,254,1083,425,149,78,378,523
76,Denver,30,8,22,.267,-11.84,-2.97,3,13,6,7,1,14,2086,2319,,1205,755,1723,.438,227,622,.365,349,460,.759,275,1041,354,142,78,408,506
77,DePaul,36,19,17,.528,6.00,4.05,7,11,16,7,3,9,2821,2751,,1450,1009,2143,.471,241,703,.343,562,773,.727,396,1347,513,227,117,488,630
